relpath,action,chunks,changes_chars,notes
content/activities/old-vbs-songs/index.md,updated,1,281,
content/activities/peaceful-christmas-songs-for-kids/index.md,updated,1,344,
content/activities/peaceful-easter-songs-for-kids/index.md,updated,1,1,
content/activities/peaceful-sunday-school-songs/index.md,updated,1,1,
content/activities/peaceful-vacation-bible-school-songs/index.md,updated,1,1,
content/activities/peaceful-vbs-theme-songs/index.md,updated,1,964,
content/activities/popular-christmas-songs-for-kids/index.md,updated,1,367,
content/activities/popular-sunday-school-songs/index.md,updated,1,1678,
content/activities/popular-vbs-theme-songs/index.md,updated,1,1636,
content/activities/praise-christmas-songs-for-kids/index.md,updated,1,1,
content/activities/praise-easter-songs-for-kids/index.md,updated,1,1,
content/activities/preschool-christian-songs-for-sunday-school/index.md,updated,1,2131,
content/activities/simple-christmas-songs-for-kids/index.md,updated,1,2112,
content/activities/simple-easter-songs-for-kids/index.md,updated,1,1,
content/activities/simple-easter-songs-for-sunday-school/index.md,updated,1,1653,
content/activities/simple-sunday-school-songs/index.md,updated,1,1746,
content/activities/simple-vacation-bible-school-songs/index.md,updated,1,1914,
content/activities/simple-vbs-theme-songs/index.md,updated,1,1569,
content/activities/sunday-school-bible-songs/index.md,updated,1,1647,
content/activities/sunday-school-christian-songs-telugu/index.md,updated,1,2437,
content/activities/sunday-school-songs-2022/index.md,updated,1,1,
content/activities/sunday-school-songs-about-forgiveness/index.md,updated,1,1789,
content/activities/sunday-school-songs-about-prayer/index.md,updated,1,1,
content/activities/sunday-school-songs-about-the-holy-spirit/index.md,updated,1,1023,
content/activities/sunday-school-songs-app/index.md,updated,1,1,
content/activities/sunday-school-songs-cd/index.md,updated,1,1,
content/activities/sunday-school-songs-chords-pdf/index.md,updated,1,1,
content/activities/sunday-school-songs-chords/index.md,updated,1,1,
content/activities/sunday-school-songs-for-adults/index.md,updated,1,1895,
content/activities/sunday-school-songs-for-babies/index.md,updated,1,335,
content/activities/sunday-school-songs-for-children-lyrics/index.md,updated,1,3,
content/activities/sunday-school-songs-for-children/index.md,updated,1,1,
content/activities/sunday-school-songs-for-church/index.md,updated,1,765,
content/activities/sunday-school-songs-for-home/index.md,updated,1,1856,
